,Неправильный вариант,Правильный вариант,simple_html,dist
10,"Каждый волонтёр получит:Верифицированные часы на DOBRO.RUВозможность стать частью организаторов масштабного события и увидеть гонку с лучших мест!Опыт в личную книжку волонтера (ЛКВ) — будет проставлен сразу по окончании мероприятия.Приоритетный отбор на последующие гонкиВоду и перекусУникальный опыт в организации крупного спортивного мероприятияИскреннюю благодарность велогонщиков, которым вы поможете осуществить свою мечту!","<p></p>
<p><b>Каждый волонтёр получит:</b></p>
<ul>
  <li>Верифицированные часы на DOBRO.RU</li>
  <li>Возможность стать частью организаторов масштабного события и увидеть гонку с лучших мест!</li>
  <li>Опыт в личную книжку волонтера (ЛКВ) — будет проставлен сразу по окончании мероприятия.</li>
  <li>Приоритетный отбор на последующие гонки</li>
  <li>Воду и перекус</li>
  <li>Уникальный опыт в организации крупного спортивного мероприятия</li>
  <li>Искреннюю благодарность велогонщиков, которым вы поможете осуществить свою мечту!</li>
</ul>
<p>","<p><b>Каждый волонтёр получит:</b></p>
<ul>
  <li>Верифицированные часы на DOBRO.</li>
  <li>RU.</li>
  <li>Возможность стать частью организаторов масштабного события и увидеть гонку с лучших мест!
Опыт в личную книжку волонтера (ЛКВ) — будет проставлен сразу по окончании мероприятия.</li>
  <li>Приоритетный отбор на последующие гонки.</li>
  <li>Воду и перекус.</li>
  <li>Уникальный опыт в организации крупного спортивного мероприятия.</li>
  <li>Искреннюю благодарность велогонщиков, которым вы поможете осуществить свою мечту!</li>
</ul>",39
11,"Особенностями волонтерской программы в этом году являются:
Онлайн-подготовка и виртуальная прогулка по горному парку;Проживание в палаточном кемпинге по 2-3 человека;Квест по территории парка и знакомство с достопримечательностями;Два прекрасных дня на свежем воздухе в окружении комаров, приятной компании единомышленников, в уникальном месте;Походное вкусное питание;Приятные подарки от организаторов события.&nbsp;Общие требования к волонтерам:возраст от 18 и старше, на некоторые позиции допускаются добровольцы от 16 с оформлением дополнительных документов от родителей;приветствуется опыт добровольческой деятельности;мобильные и готовые к смене сценариев;хорошо поставленная речь, уверенное общение с людьми разного возраста;готовность к работе в течение 7-8 часов в дни проведения событий;быть готовым к активному участию в образовательных, информационных мероприятиях, добровольческих акциях в период подготовки к событию;желателен опыт работы в команде, коллективе, проектной деятельности;приветствуется ведение ЗОЖ, отсутствие вредных привычек.""","<p>Особенностями волонтерской программы в этом году являются:</p>
<ul>
  <li>Онлайн-подготовка и виртуальная прогулка по горному парку;</li>
  <li>Проживание в палаточном кемпинге по 2-3 человека;</li>
  <li>Квест по территории парка и знакомство с достопримечательностями;</li>
  <li>Два прекрасных дня на свежем воздухе в окружении комаров, приятной компании единомышленников, в уникальном месте;</li>
  <li>Походное вкусное питание;</li>
  <li>Приятные подарки от организаторов события.</li>
</ul>
<p><span>Общие требования к волонтерам:</span></p>
<ul>
  <li>возраст от 18 и старше, на некоторые позиции допускаются добровольцы от 16 с оформлением дополнительных документов от родителей;</li>
  <li>приветствуется опыт добровольческой деятельности;</li>
  <li>мобильные и готовые к смене сценариев;</li>
  <li>хорошо поставленная речь, уверенное общение с людьми разного возраста;</li>
  <li>готовность к работе в течение 7-8 часов в дни проведения событий;</li>
  <li>быть готовым к активному участию в образовательных, информационных мероприятиях, добровольческих акциях в период подготовки к событию;</li>
  <li>желателен опыт работы в команде, коллективе, проектной деятельности;</li>
  <li>приветствуется ведение ЗОЖ, отсутствие вредных привычек.</li>
</ul>","<p><b>Особенностями волонтерской программы в этом году являются:</b></p>
<ul>
  <li>Онлайн-подготовка и виртуальная прогулка по горному парку;</li>
  <li>Проживание в палаточном кемпинге по 2-3 человека;</li>
  <li>Квест по территории парка и знакомство с достопримечательностями;</li>
  <li>Два прекрасных дня на свежем воздухе в окружении комаров, приятной компании единомышленников, в уникальном месте;</li>
  <li>Походное вкусное питание;</li>
  <li>Приятные подарки от организаторов события.&nbsp;</li>
  <li>Общие требования к волонтерам: возраст от 18 и старше, на некоторые позиции допускаются добровольцы от 16 с оформлением дополнительных документов от родителей;</li>
  <li>приветствуется опыт добровольческой деятельности;</li>
  <li>мобильные и готовые к смене сценариев;</li>
  <li>хорошо поставленная речь, уверенное общение с людьми разного возраста;</li>
  <li>готовность к работе в течение 7-8 часов в дни проведения событий;</li>
  <li>быть готовым к активному участию в образовательных, информационных мероприятиях, добровольческих акциях в период подготовки к событию;</li>
  <li>желателен опыт работы в команде, коллективе, проектной деятельности;</li>
  <li>приветствуется ведение ЗОЖ, отсутствие вредных привычек.""</li>
</ul>",45
12,"Информация о событии:Название события: Конференция ""Инновации и технологии"";Дата проведения: 15-16 июля;Место проведения: Конгресс-центр ""Арена"".","<p><b>Информация о событии:</b></p>
<ul>
  <li>Название события: Конференция ""Инновации и технологии"";</li>
  <li>Дата проведения: 15-16 июля;</li>
  <li>Место проведения: Конгресс-центр ""Арена"".</li>
</ul>","<p><b>Информация о событии:</b></p>
<ul>
  <li>Название события: Конференция ""Инновации и технологии"";</li>
  <li>Дата проведения: 15-16 июля;</li>
  <li>Место проведения: Конгресс-центр ""Арена"".</li>
</ul>",0
13,Основные преимущества программы:Возможность обучения у опытных профессионалов;Получение сертификата по окончанию программы;Возможность общения с единомышленниками и расширение профессионального круга связей.,"<ul>
  <li><h3>Основные преимущества программы:</h3></li>
  <li>Возможность обучения у опытных профессионалов;</li>
  <li>Получение сертификата по окончанию программы;</li>
  <li>Возможность общения с единомышленниками и расширение профессионального круга связей.</li>
</ul>","<p><b>Основные преимущества программы:</b></p>
<ul>
  <li>Возможность обучения у опытных профессионалов;</li>
  <li>Получение сертификата по окончанию программы;</li>
  <li>Возможность общения с единомышленниками и расширение профессионального круга связей.</li>
</ul>",19
14,"Приглашаем волонтеров принять участие в помощи проведения фестиваля «Спасская башня»!Требования к волонтерам:возраст от 16 лет;открытость, коммуникабельность, стрессоустойчивость;прохождение обязательного обучения;прохождение рекрутинга (для некоторых функций);возможность принять участие минимум в 6-х днях фестиваля.","<p>Приглашаем волонтеров принять участие в помощи проведения фестиваля «Спасская башня»!</p>
<p><b>Требования к волонтерам:</b></p>
<ul>
  <li>возраст от 16 лет;</li>
  <li>открытость, коммуникабельность, стрессоустойчивость;</li>
  <li>прохождение обязательного обучения;</li>
  <li>прохождение рекрутинга (для некоторых функций);</li>
  <li>возможность принять участие минимум в 6-х днях фестиваля.</li>
</ul>","<p><b>Приглашаем волонтеров принять участие в помощи проведения фестиваля «Спасская башня»!
Требования к волонтерам:</b></p>
<ul>
  <li>возраст от 16 лет;</li>
  <li>открытость, коммуникабельность, стрессоустойчивость;</li>
  <li>прохождение обязательного обучения;</li>
  <li>прохождение рекрутинга (для некоторых функций);</li>
  <li>возможность принять участие минимум в 6-х днях фестиваля.</li>
</ul>",13
15,"- одиноким пенсионерам
- маломобильным гражданам
- участникам ВОВ","<ul>
  <li>одиноким пенсионерам</li>
  <li>маломобильным гражданам</li>
  <li>участникам ВОВ</li>
</ul>","<ul>
  <li>- одиноким пенсионерам</li>
  <li>- маломобильным гражданам</li>
  <li>- участникам ВОВ</li>
</ul>",6
16,Сервисы волонтеров:экипировка;питание (однократное);благодарственное письмо по итогу мероприятия.,"<p>Сервисы волонтеров:</p>
<ul>
  <li>экипировка;</li>
  <li><span>питание (однократное);</span></li>
  <li>благодарственное письмо по итогу мероприятия.</li>
</ul>","<p><b>Сервисы волонтеров:</b></p>
<ul>
  <li>экипировка;</li>
  <li>питание (однократное);</li>
  <li>благодарственное письмо по итогу мероприятия.</li>
</ul>",20
17,"Задачи волонтеров фестиваля:помощь в координации, встрече и регистрации команд - участников;помощь в координации посетителей;помощь в раздаче материалов для участников;помощь сотрудникам фестиваля во время застройки площадок фестиваля;ассистирование.","<p>Задачи волонтеров фестиваля:</p>
<ul>
  <li>помощь в координации, встрече и регистрации команд-участников;</li>
  <li>помощь в координации посетителей;</li>
  <li>помощь в раздаче материалов для участников;</li>
  <li>помощь сотрудникам фестиваля во время застройки площадок фестиваля;</li>
  <li>ассистирование.</li>
</ul>","<p><b>Задачи волонтеров фестиваля:</b></p>
<ul>
  <li>помощь в координации, встрече и регистрации команд - участников;</li>
  <li>помощь в координации посетителей;</li>
  <li>помощь в раздаче материалов для участников;</li>
  <li>помощь сотрудникам фестиваля во время застройки площадок фестиваля;</li>
  <li>ассистирование.</li>
</ul>",9
18,"Мы набираем волонтеров на самое молодежное событие этого лета!25 июня 2022 годаВозраст от 14 до 25 летТебя ждутновые друзья и положительные эмоции;опыт работы в масштабном мероприятии;по окончанию работы - поощрение;Если у тебя есть желание и ты готов быть в команде волонтеров города, беги подавать заявку. Наши двери и сердца открыты каждому желающему, мы ждем ВАС!","<p>Мы набираем волонтеров на самое молодежное событие этого лета!</p>
<ul>
  <li>25 июня 2022 года</li>
  <li>Возраст от 14 до 25 лет</li>
</ul>
<p>Тебя ждут</p>
<ul>
  <li>новые друзья и положительные эмоции;</li>
  <li>опыт работы в масштабном мероприятии;</li>
  <li>по окончанию работы - поощрение;</li>
</ul>
<p>Если у тебя есть желание и ты готов быть в команде волонтеров города, беги подавать заявку. Наши двери и сердца открыты каждому желающему, мы ждем ВАС!</p>","<ul>
  <li>Мы набираем волонтеров на самое молодежное событие этого лета!</li>
  <li>25 июня 2022 года. Возраст от 14 до 25 лет. Тебя ждут новые друзья и положительные эмоции;</li>
  <li>опыт работы в масштабном мероприятии;</li>
  <li>по окончанию работы - поощрение;</li>
  <li>Если у тебя есть желание и ты готов быть в команде волонтеров города, беги подавать заявку. Наши двери и сердца открыты каждому желающему, мы ждем ВАС!</li>
</ul>",71
19,"Кто нужен:ответственные люди, владеющие программами для монтажа видео: Adobe Premiere Pro, Adobe After Effects, Sony Vegas, DaVinci Resolve, Final Cut Pro,ОБЯЗАТЕЛЬНЫЕ, приученные доводить дело до конца,альтруисты-бессребреники.Если вы обладаете этими качествами, хотя бы частично, то давайте знакомиться. Откликайтесь и заполняйте форму анкеты как можно подробнее. Если ваш опыт подходит для решения задачи, мы свяжемся с вами и расскажем о дальнейшей работе.
""","<p>Кто нужен:</p>
<ul>
  <li>ответственные люди, владеющие программами для монтажа видео: Adobe Premiere Pro, Adobe After Effects, Sony Vegas, DaVinci Resolve, Final Cut Pro,</li>
  <li>ОБЯЗАТЕЛЬНЫЕ, приученные доводить дело до конца,</li>
  <li>альтруисты-бессребреники.</li>
</ul>
<p>Если вы обладаете этими качествами, хотя бы частично, то давайте знакомиться. Откликайтесь и заполняйте форму анкеты как можно подробнее. </p>
<p>Если ваш опыт подходит для решения задачи, мы свяжемся с вами и расскажем о дальнейшей работе.</p>","<p><b>Кто нужен:</b></p>
<ul>
  <li>ответственные люди, владеющие программами для монтажа видео: Adobe Premiere Pro, Adobe After Effects, Sony Vegas, DaVinci Resolve, Final Cut Pro,ОБЯЗАТЕЛЬНЫЕ, приученные доводить дело до конца,альтруисты-бессребреники.</li>
  <li>Если вы обладаете этими качествами, хотя бы частично, то давайте знакомиться.</li>
  <li>Откликайтесь и заполняйте форму анкеты как можно подробнее.</li>
  <li>Если ваш опыт подходит для решения задачи, мы свяжемся с вами и расскажем о дальнейшей работе.</li>
  <li>""</li>
</ul>",77
20,Присоединяйся к команде волонтёров оркестров в парках!Функции волонтёров:информирование посетителей об акции.,"<p>Присоединяйся к команде волонтёров оркестров в парках!</p>
<p><b>Функции волонтёров:</b></p>
<ul>
  <li>информирование посетителей об акции.</li>
</ul>","<p><b>Присоединяйся к команде волонтёров оркестров в парках!
Функции волонтёров:</b></p>
<ul>
  <li>информирование посетителей об акции.</li>
</ul>",13
21,"Требования к волонтёрам:
возраст от 16 лет;
коммуникабельность, открытость;
отсутствие симптомов ОРВИ/ОРЗ/Covid-19 в день мероприятия и за 14 дней до начала;
возможность принять участие минимум в 3 концертах;
готовность использовать мобильный интернет (общение через WhatsApp);
участие в продолжении программы «Военные оркестры в парках города» - Международном военно-музыкальном фестивале «Спасская башня».Сервисы для волонтёров:
экипировка;
трансфер до парка «Патриот» и обратно;верифицированные часы.","<ul>
  <li>Требования к волонтёрам:</li>
  <ul>
    <li>возраст от 16 лет;</li>
    <li>коммуникабельность, открытость;</li>
    <li>отсутствие симптомов ОРВИ/ОРЗ/Covid-19 в день мероприятия и за 14 дней до начала;</li>
    <li><b>возможность принять участие минимум в 3 концертах;</b></li>
    <li>готовность использовать мобильный интернет (общение через WhatsApp);</li>
    <li>участие в продолжении программы «Военные оркестры в парках города» - Международном военно-музыкальном фестивале «Спасская башня».</li>
  </ul>
  <li>Сервисы для волонтёров:</li>
  <ul>
    <li>экипировка;</li>
    <li>трансфер до парка «Патриот» и обратно;</li>
    <li>верифицированные часы.</li>
  </ul>
</ul>","<p><b>Требования к волонтёрам:</b></p>
<ul>
  <li>возраст от 16 лет;</li>
  <li>коммуникабельность, открытость;</li>
  <li>отсутствие симптомов ОРВИ/ОРЗ/Covid-19 в день мероприятия и за 14 дней до начала;</li>
  <li>возможность принять участие минимум в 3 концертах;</li>
  <li>готовность использовать мобильный интернет (общение через WhatsApp);</li>
  <li>участие в продолжении программы «Военные оркестры в парках города» - Международном военно-музыкальном фестивале «Спасская башня».</li>
  <li>Сервисы для волонтёров: экипировка;</li>
  <li>трансфер до парка «Патриот» и обратно;</li>
  <li>верифицированные часы.</li>
</ul>",73
22,"Даты проведения мероприятия:21 мая - Главный храм вооруженных сил - трансфер от м. Парк Победы и обратно28 мая - ВДНХ1 июня - Комсомольская площадь4 июня - Главный храм вооруженных сил - трансфер от м. Парк Победы и обратно30 июля - Главный храм вооруженных сил - трансфер от м. Парк Победы и обратно20 августа - Главный храм вооруженных сил - трансфер от м. Парк Победы и обратно





""","<p><b>Даты проведения мероприятия:</b></p>
<ul>
  <li>21 мая - Главный храм вооруженных сил - трансфер от м. Парк Победы и обратно</li>
  <li>28 мая - ВДНХ</li>
  <li>1 июня - Комсомольская площадь</li>
  <li>4 июня - Главный храм вооруженных сил - трансфер от м. Парк Победы и обратно</li>
  <li>30 июля - Главный храм вооруженных сил - трансфер от м. Парк Победы и обратно</li>
  <li>20 августа - Главный храм вооруженных сил - трансфер от м. Парк Победы и обратно</li>
</ul>","<p><b>Даты проведения мероприятия:</b></p>
<ul>
  <li>21 мая-</li>
  <li>Главный храм вооруженных сил-</li>
  <li>трансфер от м. Парк Победы и обратно 28 мая-</li>
  <li>ВДНХ 1 июня-</li>
  <li>Комсомольская площадь 4 июня-</li>
  <li>Главный храм вооруженных сил-</li>
  <li>трансфер от м. Парк Победы и обратно 30 июля-</li>
  <li>Главный храм вооруженных сил-</li>
  <li>трансфер от м. Парк Победы и обратно 20 августа-</li>
  <li>Главный храм вооруженных сил-</li>
  <li>трансфер от м. Парк Победы и обратно ""</li>
</ul>",150
23,"Задачи :сформировать потребность в совершении добрых поступков, в сострадании и отзывчивости, добром отношении друг к другу, действовать бескорыстно, по велению души и сердца.повышение социальной активности молодёжи в добровольческой деятельности.организация и поддержка добровольческих акций, мероприятий, в том числе и по пропаганде здорового образа жизни, социально-ответственному поведению в молодежной среде, благоустройству и по оказанию помощи лицам пожилого возраста и т.д.обучение молодежи добровольческой деятельности.пропаганда добровольческого движения""","<p>
  <span>Задачи :</span>
</p>
<ul>
  <li>сформировать потребность в совершении добрых поступков, в сострадании и отзывчивости, добром отношении друг к другу, действовать бескорыстно, по велению души и сердца.</li>
  <li>повышение социальной активности молодёжи в добровольческой деятельности.</li>
  <li>организация и поддержка добровольческих акций, мероприятий, в том числе и по пропаганде здорового образа жизни, социально-ответственному поведению в молодежной среде, благоустройству и по оказанию помощи лицам пожилого возраста и т.д.</li>
  <li>обучение молодежи добровольческой деятельности.</li>
  <li>пропаганда добровольческого движения</li>
</ul>","<p><b>Задачи:</b></p>
<ul>
  <li>сформировать потребность в совершении добрых поступков, в сострадании и отзывчивости, добром отношении друг к другу, действовать бескорыстно, по велению души и сердца.</li>
  <li>повышение социальной активности молодёжи в добровольческой деятельности.</li>
  <li>организация и поддержка добровольческих акций, мероприятий, в том числе и по пропаганде здорового образа жизни, социально-ответственному поведению в молодежной среде, благоустройству и по оказанию помощи лицам пожилого возраста и т.</li>
  <li>д.</li>
  <li>обучение молодежи добровольческой деятельности.</li>
  <li>пропаганда добровольческого движения""</li>
</ul>",26
24,"""Помощь в проведении Масштабного бегового события - """"ПЕРМСКИЙ МАРАФОН 2022"""""",,""
Тысячи людей пробегут по центральным улицам Перми, чтобы понять, что они сильнее, чем думали, могут больше, чем предполагали, и способны на большее.Масштабное беговое событие - ПЕРМСКИЙ МАРАФОН 2022 состоится 3 - 4 сентября.&nbsp;⠀
Волонтёры будут помогать в организации масштабного городского спортивного события: встречать гостей и участников мероприятия организовывать спортсменов на старте награждать участников на финише выполнять другие организационные задачи&nbsp;""","<p>Помощь в проведении Масштабного бегового события - ""ПЕРМСКИЙ МАРАФОН 2022"":</p>
<ul>
<li>Тысячи людей пробегут по центральным улицам Перми, чтобы понять, что они сильнее, чем думали, могут больше, чем предполагали, и способны на большее. Масштабное беговое событие - ПЕРМСКИЙ МАРАФОН 2022 состоится 3 - 4 сентября.⠀</li>
<li>Волонтёры будут помогать в организации масштабного городского спортивного события:</li>
<li>встречать гостей и участников мероприятия</li>
<li>организовывать спортсменов на старте</li>
<li>награждать участников на финише</li>
<li>выполнять другие организационные задачи&nbsp;</li>
</ul>","<p><b>""Помощь в проведении Масштабного бегового события - ""ПЕРМСКИЙ МАРАФОН 2022"",,""
Тысячи людей пробегут по центральным улицам Перми, чтобы понять, что они сильнее, чем думали, могут больше, чем предполагали, и способны на большее.
Масштабное беговое событие - ПЕРМСКИЙ МАРАФОН 2022 состоится 3 - 4 сентября.&nbsp;⠀
Волонтёры будут помогать в организации масштабного городского спортивного события:</b></p>
<ul>
  <li>встречать гостей и участников мероприятия организовывать спортсменов на старте награждать участников на финише выполнять другие организационные задачи&nbsp;""</li>
</ul>",73
25,"Если ты внимательный и умеешь работать в MS Office, тогда смело выбирай любой удобный день для работы С 14 июня
с 11:00- 13:00
с 14:00-16:00""","<p>Если ты внимательный и умеешь работать в MS Office, тогда смело выбирай любой удобный день для работы.</p>
<p>С 14 июня</p>
<ul>
  <li>с 11:00-13:00</li>
  <li>с 14:00-16:00</li>
</ul>","<ul>
  <li>Если ты внимательный и умеешь работать в MS Office, тогда смело выбирай любой удобный день для работы С 14 июня</li>
  <li>с 11:00- 13:00</li>
  <li>с 14:00-16:00""</li>
</ul>",26
26,"Чтобы стать волонтером Волонтерского центра РГМ и принять участие в волонтерской деятельности в больнице достаточно двух шагов: 
Подать заявку на участие в волонтерской деятельности
Пройти собеседование, которое проводится 1-2 раза в месяц (сейчас в дистанционном режиме). Координатор Волонтерского центра свяжется с каждым заявителем чтобы объяснить, что необходимо сделать для прохождения&nbsp; собеседования.
""","<p>Чтобы стать волонтером Волонтерского центра РГМ и принять участие в волонтерской деятельности в больнице достаточно двух шагов:</p>
<ul>
  <li>Подать заявку на участие в волонтерской деятельности</li>
  <li>Пройти собеседование, которое проводится 1-2 раза в месяц (сейчас в дистанционном режиме). Координатор Волонтерского центра свяжется с каждым заявителем чтобы объяснить, что необходимо сделать для прохождения собеседования.</li>
</ul>","<p><b>Чтобы стать волонтером Волонтерского центра РГМ и принять участие в волонтерской деятельности в больнице достаточно двух шагов:</b></p>
<ul>
  <li>Подать заявку на участие в волонтерской деятельности</li>
  <li>Пройти собеседование, которое проводится 1-2 раза в месяц (сейчас в дистанционном режиме). Координатор Волонтерского центра свяжется с каждым заявителем чтобы объяснить, что необходимо сделать для прохождения&nbsp; собеседования.</li>
  <li>""</li>
</ul>",26
